Text version of loaded midi tracks
Midi events are: Cumulative-midi-time time status data1 data2 data2
Cumulative midi time starts with the first note-on event, if there is one.
The status byte is printed in hex.  All others are decimal integers.

Number of tracks: 1

Track 0: 2347 events (skipping sysex)
     12366      0 80  77  64   0
     12394     28 80  68  64   0
     12394      0 80  65  64   0
     12394      0 80  58  64   0
     12518    124 B0  64   0   0
     12596     78 90  51  39   0
     12596      0 90  82  55   0
     12596      0 90  73  46   0
     12596      0 90  79  47   0
     12758    162 B0  64 127   0
     12816     58 80  82  64   0
     12816      0 80  73  64   0
     12816      0 80  79  64   0
     12854     38 80  51  64   0
     12874     20 90  61  33   0
     12874      0 90  58  30   0
     12884     10 90  67  31   0
     12950     66 80  67  64   0
     12960     10 80  61  64   0
     12960      0 80  58  64   0
     13008     48 90  82  58   0
     13008      0 90  79  50   0
     13094     86 80  82  64   0
     13094      0 80  79  64   0
     13134     40 90  73  62   0
     13162     28 90  52  48   0
     13190     28 B0  64   0   0
     13238     48 80  73  64   0
     13258     20 90  82  60   0
     13258      0 90  79  52   0
     13344     86 80  52  64   0
     13354     10 80  82  64   0
     13354      0 80  79  64   0
     13392     38 90  73  58   0
     13392      0 90  73  50   0
     13402     10 90  53  48   0
     13430     28 B0  64 127   0
     13498     68 90  82  54   0
     13566     68 80  53  64   0
     13632     66 80  82  64   0
     13652     20 90  84  52   0
     13662     10 90  56  33   0
     13680     18 90  65  20   0
     13728     48 80  56  64   0
     13728      0 80  65  64   0
     13776     48 90  82  51   0
     13806     30 80  84  64   0
     13920    114 90  80  38   0
     13920      0 90  72  33   0
     13930     10 80  82  64   0
     13930      0 80  73  64   0
     13930      0 90  44  31   0
     13958     28 B0  64   0   0
     13988     30 80  44  64   0
     13998     10 80  80  64   0
     13998      0 80  72  64   0
     14190    192 90  71  49   0
     14190      0 90  71  42   0
     14198      8 90  46  38   0
     14276     78 B0  64 127   0
     14314     38 90  80  47   0
     14324     10 80  46  64   0
     14430    106 80  80  64   0
     14458     28 90  82  40   0
     14458      0 90  55  31   0
     14516     58 80  55  64   0
     14592     76 90  80  42   0
     14602     10 80  82  64   0
     14698     96 80  80  64   0
     14698      0 80  71  64   0
     14708     10 90  79  37   0
     14708      0 90  70  32   0
     14708      0 90  55  30   0
     14708      0 90  63  38   0
     14756     48 80  79  64   0
     14756      0 80  70  64   0
     14756      0 80  63  64   0
     14774     18 80  55  64   0
     14832     58 B0  64   0   0
     14986    154 90  70  43   0
     14986      0 90  70  37   0
     14996     10 90  46  38   0
     15044     48 80  46  64   0
     15082     38 B0  64 127   0
     15102     20 90  79  40   0
     15206    104 80  79  64   0
     15236     30 90  80  44   0
